address,degree,in_degree,out_degree,pagerank,core,hub,authority,betweenness,value_in,value_out,value_net
0xeff1a6bd58c47493fadbb3a0f61f907e3f20539e,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x37e8789bb9996cac9156cd5f5fd32599e6b91289,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x49e033122c8300a6d5091acf667494466ee4a9d2,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x7e63ba29939a23f003ae525bbe69962904804a0a,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2,2,0,2.4458878797880242e-05,2,0.0,0.0,,0.0,0.0,0.0
0xd0352a019e9ab9d757776f532377aaebd36fd541,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x64cbae542068f8dca9f356c8736e4c9844267805,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x36108dc5f46c2630db44a1d645876ea04aa61f9e,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x0f1ed66c251bcb52ecf7e67ac64bb72482048adb,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x9281b23353b9028a94f182bac94c48aaa82a799f,1,0,1,2.4458878797880242e-05,1,0.00039950879928679915,0.0,,0.0,1999.9960618799998,-1999.9960618799998
0xc03e6fda02e1ab2093d8732b4d085c3b059f2ebb,1,0,1,2.4458878797880242e-05,1,1.9975479297257222e-10,0.0,,0.0,0.001,-0.001
0x40395044ac3c0c57051906da938b54bd6557f212,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xfc05987bd2be489accf0f509e44b0145d68240f7,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
