source,target,weight,count
0xf4b51b14b9ee30dc37ec970b50a486f37686e2a8,0x742d35cc6634c0532925a3b844bc454e4438f44e,1.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0.0,4
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,2480000.5,65
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xf230b790e05390fc8295f4d3f60332c93bed42e2,0.0,6
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xcbeaec699431857fdb4d37addbbdc20e132d4903,0.0,6
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xf7920b0768ecb20a123fac32311d07d193381d6f,0.0,10
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,0.0,9
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0.0,16
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x3893b9422cd5d70a81edeffe3d5a1c6a978310bb,0.0,11
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x518131431be643e7d3d1f706107f42d043c11ab3,0.05,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xced4e93198734ddaff8492d525bd258d49eb388e,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xe94327d07fc17907b4db788e5adf2ed424addff6,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0.0,11
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6,0.0,15
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xeb96f4caaea05e69f41c25ae42b58ffff7df628d,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xd7e7a876058d8e67efb26ad7b10a4007d90396bc,0.0,4
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xabdf147870235fcfc34153828c769a70b3fae01f,0.0,2
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xcc80c051057b774cd75067dc48f8987c4eb97a5e,0.0,5
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,0.0,4
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x3db29d5325a346fd69fe1514fb803645d07f2b81,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x0cdee17fce397691c9eff5c971ac2cbe5a26e021,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,0.0,3
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x99ee6275a7ec7165c63fb7cfeb8b8e1a73722733,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xe41d2489571d322189246dafa5ebde1f4699f498,0.0,6
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x1da899dfba6cca073a5283f1855453ebfd13ecfb,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x97aeb5066e1a590e868b511457beb6fe99d329f5,0.0,4
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x4237e70f7ebb2ca125a85f97288cc6ad0c2c40b6,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x448e0fed8d5b6494d75412a1a263ae3bbfbb505f,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x42d6622dece394b54999fbd73d108123806f6a18,0.0,5
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,0.0,4
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xf5490dd02ef9a20682fa7cd12fd2be428b5a2431,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xd850942ef8811f2a866692a623011bde52a462c1,0.0,2
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0.0,5
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x2a509918f8ab6017f8f52d78f8a15e4b29687ad7,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0.0,3
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x69b148395ce0015c13e36bffbad63f49ef874e03,0.0,2
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xe2d06285211fc0f9cc9d3e62435e474377754478,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x63f584fa56e60e4d0fe8802b27c7e6e3b33e007f,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xea11755ae41d889ceec39a63e6ff75a02bc1c00d,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xeff1a6bd58c47493fadbb3a0f61f907e3f20539e,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,0.0,2
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x49e033122c8300a6d5091acf667494466ee4a9d2,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f,0.0,4
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x7e63ba29939a23f003ae525bbe69962904804a0a,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0.0,2
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xd0352a019e9ab9d757776f532377aaebd36fd541,0.0,2
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x64cbae542068f8dca9f356c8736e4c9844267805,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x36108dc5f46c2630db44a1d645876ea04aa61f9e,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x0f1ed66c251bcb52ecf7e67ac64bb72482048adb,0.0,3
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x40395044ac3c0c57051906da938b54bd6557f212,0.0,4
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xfc05987bd2be489accf0f509e44b0145d68240f7,0.0,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,2
